book,genre,rank,ngram,count
TheWonderfulWizardOfOz,fantasy,1,tin woodman,118
TheWonderfulWizardOfOz,fantasy,2,wicked witch,60
TheWonderfulWizardOfOz,fantasy,3,emerald city,57
TheWonderfulWizardOfOz,fantasy,4,said dorothy,44
TheWonderfulWizardOfOz,fantasy,5,said scarecrow,39
TheWonderfulWizardOfOz,fantasy,6,little girl,32
TheWonderfulWizardOfOz,fantasy,7,winged monkeys,30
TheWonderfulWizardOfOz,fantasy,8,asked dorothy,28
TheWonderfulWizardOfOz,fantasy,9,back kansas,28
TheWonderfulWizardOfOz,fantasy,10,aunt em,24
TheWonderfulWizardOfOz,fantasy,11,golden cap,23
TheWonderfulWizardOfOz,fantasy,12,cowardly lion,22
TheWonderfulWizardOfOz,fantasy,13,good bye,22
TheWonderfulWizardOfOz,fantasy,14,throne room,22
TheWonderfulWizardOfOz,fantasy,15,silver shoes,20
TheWonderfulWizardOfOz,fantasy,16,great oz,19
TheWonderfulWizardOfOz,fantasy,17,said tin,19
TheWonderfulWizardOfOz,fantasy,18,said lion,19
TheWonderfulWizardOfOz,fantasy,19,could see,17
TheWonderfulWizardOfOz,fantasy,20,get back,17
TheWonderfulWizardOfOz,fantasy,21,yellow brick,16
TheWonderfulWizardOfOz,fantasy,22,scarecrow tin,15
TheWonderfulWizardOfOz,fantasy,23,uncle henry,13
TheWonderfulWizardOfOz,fantasy,24,three times,13
TheWonderfulWizardOfOz,fantasy,25,great wizard,13
TheWonderfulWizardOfOz,fantasy,26,next morning,13
TheWonderfulWizardOfOz,fantasy,27,guardian gates,12
TheWonderfulWizardOfOz,fantasy,28,old woman,12
TheWonderfulWizardOfOz,fantasy,29,witch east,12
TheWonderfulWizardOfOz,fantasy,30,witch west,12
TheWonderfulWizardOfOz,fantasy,31,road yellow,12
TheWonderfulWizardOfOz,fantasy,32,little man,12
TheWonderfulWizardOfOz,fantasy,33,said girl,11
TheWonderfulWizardOfOz,fantasy,34,land oz,11
TheWonderfulWizardOfOz,fantasy,35,oz great,11
TheWonderfulWizardOfOz,fantasy,36,stuffed straw,11
TheWonderfulWizardOfOz,fantasy,37,send back,11
TheWonderfulWizardOfOz,fantasy,38,said oz,11
TheWonderfulWizardOfOz,fantasy,39,good witch,10
TheWonderfulWizardOfOz,fantasy,40,many years,10
TheWonderfulWizardOfOz,fantasy,41,asked scarecrow,10
TheWonderfulWizardOfOz,fantasy,42,must go,9
TheWonderfulWizardOfOz,fantasy,43,went back,9
TheWonderfulWizardOfOz,fantasy,44,give brains,9
TheWonderfulWizardOfOz,fantasy,45,heart said,9
TheWonderfulWizardOfOz,fantasy,46,woodman scarecrow,9
TheWonderfulWizardOfOz,fantasy,47,little old,8
TheWonderfulWizardOfOz,fantasy,48,dorothy said,8
TheWonderfulWizardOfOz,fantasy,49,oh yes,8
TheWonderfulWizardOfOz,fantasy,50,find way,8
TheWonderfulWizardOfOz,fantasy,51,walked along,8
TheWonderfulWizardOfOz,fantasy,52,asked girl,8
TheWonderfulWizardOfOz,fantasy,53,answered scarecrow,8
TheWonderfulWizardOfOz,fantasy,54,well said,8
TheWonderfulWizardOfOz,fantasy,55,let us,8
TheWonderfulWizardOfOz,fantasy,56,said woodman,8
TheWonderfulWizardOfOz,fantasy,57,scarecrow said,8
TheWonderfulWizardOfOz,fantasy,58,said cowardly,8
TheWonderfulWizardOfOz,fantasy,59,shall never,8
TheWonderfulWizardOfOz,fantasy,60,green girl,8
TheWonderfulWizardOfOz,fantasy,61,great terrible,8
TheWonderfulWizardOfOz,fantasy,62,answered oz,8
TheWonderfulWizardOfOz,fantasy,63,soldier green,8
TheWonderfulWizardOfOz,fantasy,64,green whiskers,8
TheWonderfulWizardOfOz,fantasy,65,lovely lady,8
TheWonderfulWizardOfOz,fantasy,66,four travelers,8
TheWonderfulWizardOfOz,fantasy,67,country quadlings,7
TheWonderfulWizardOfOz,fantasy,68,toto arms,7
TheWonderfulWizardOfOz,fantasy,69,dorothy could,7
TheWonderfulWizardOfOz,fantasy,70,little woman,7
TheWonderfulWizardOfOz,fantasy,71,cried dorothy,7
TheWonderfulWizardOfOz,fantasy,72,said little,7
TheWonderfulWizardOfOz,fantasy,73,see great,7
TheWonderfulWizardOfOz,fantasy,74,give heart,7
TheWonderfulWizardOfOz,fantasy,75,asked lion,7
TheWonderfulWizardOfOz,fantasy,76,upon journey,7
TheWonderfulWizardOfOz,fantasy,77,dorothy lion,7
TheWonderfulWizardOfOz,fantasy,78,shall get,7
TheWonderfulWizardOfOz,fantasy,79,come back,7
TheWonderfulWizardOfOz,fantasy,80,green silk,7
TheWonderfulWizardOfOz,fantasy,81,replied oz,7
TheWonderfulWizardOfOz,fantasy,82,city oz,6
TheWonderfulWizardOfOz,fantasy,83,king beasts,6
TheWonderfulWizardOfOz,fantasy,84,dorothy looked,6
TheWonderfulWizardOfOz,fantasy,85,answered little,6
TheWonderfulWizardOfOz,fantasy,86,replied dorothy,6
TheWonderfulWizardOfOz,fantasy,87,cannot tell,6
TheWonderfulWizardOfOz,fantasy,88,long journey,6
TheWonderfulWizardOfOz,fantasy,89,said witch,6
TheWonderfulWizardOfOz,fantasy,90,bowed low,6
TheWonderfulWizardOfOz,fantasy,91,dorothy went,6
TheWonderfulWizardOfOz,fantasy,92,pass night,6
TheWonderfulWizardOfOz,fantasy,93,thought would,6
TheWonderfulWizardOfOz,fantasy,94,scarecrow head,6
TheWonderfulWizardOfOz,fantasy,95,go back,6
TheWonderfulWizardOfOz,fantasy,96,flew away,6
TheWonderfulWizardOfOz,fantasy,97,get brains,6
TheWonderfulWizardOfOz,fantasy,98,us said,6
TheWonderfulWizardOfOz,fantasy,99,asked tin,6
TheWonderfulWizardOfOz,fantasy,100,made tin,6
PrideAndPrejudice,romance,1,mr darcy,277
PrideAndPrejudice,romance,2,mr collins,160
PrideAndPrejudice,romance,3,mrs bennet,160
PrideAndPrejudice,romance,4,lady catherine,122
PrideAndPrejudice,romance,5,mr bingley,116
PrideAndPrejudice,romance,6,mr bennet,92
PrideAndPrejudice,romance,7,miss bingley,87
PrideAndPrejudice,romance,8,mr wickham,68
PrideAndPrejudice,romance,9,miss bennet,67
PrideAndPrejudice,romance,10,mrs gardiner,57
PrideAndPrejudice,romance,11,said elizabeth,46
PrideAndPrejudice,romance,12,sir william,44
PrideAndPrejudice,romance,13,de bourgh,41
PrideAndPrejudice,romance,14,miss darcy,40
PrideAndPrejudice,romance,15,young man,38
PrideAndPrejudice,romance,16,george allen,37
PrideAndPrejudice,romance,17,copyright george,35
PrideAndPrejudice,romance,18,mr gardiner,34
PrideAndPrejudice,romance,19,dare say,30
