genre,rank,ngram,count
biography,1,south african war,13
biography,2,little blind girls,13
biography,3,foundation stone new,10
biography,4,miss canby story,10
biography,5,great britain ireland,9
biography,6,dominions beyond seas,9
biography,7,state dinner given,9
biography,8,laying foundation stone,9
biography,9,laid foundation stone,9
biography,10,three days later,9
biography,11,thousand school children,9
biography,12,great house farm,9
biography,13,shall never forget,9
biography,14,little lord fauntleroy,9
biography,15,one hundred fifty,8
biography,16,archbishops canterbury york,8
biography,17,two days later,8
biography,18,great round world,8
biography,19,south boston mass,8
biography,20,new england courant,7
biography,21,british dominions beyond,7
biography,22,heir british throne,7
biography,23,evening state dinner,7
biography,24,duchess cornwall york,7
biography,25,perkins institution blind,7
biography,26,united kingdom great,6
biography,27,kingdom great britain,6
biography,28,accompanied princess wales,6
biography,29,great banquet given,6
biography,30,one hundred guineas,6
biography,31,lord rosebery mr,6
biography,32,right hon sir,6
biography,33,south african medals,6
biography,34,illustration right hon,6
biography,35,prime minister representing,6
biography,36,would marked thus,6
biography,37,six years old,6
biography,38,deaf blind children,6
biography,39,little blind children,6
biography,40,use manual alphabet,6
biography,41,story frost fairies,6
biography,42,teaching speech deaf,6
biography,43,lovingly little friend,6
biography,44,loving little friend,6
biography,45,newbury street boston,6
biography,46,long time ago,6
biography,47,two three times,6
biography,48,new printing office,5
biography,49,state dinner reception,5
biography,50,school children sang,5
biography,51,sang national anthem,5
biography,52,evening next day,5
biography,53,sir bartle frere,5
biography,54,usual state dinner,5
biography,55,lord napier magdala,5
biography,56,sir dighton probyn,5
biography,57,new south wales,5
biography,58,sir hicks beach,5
biography,59,lord rothschild sir,5
biography,60,australia new zealand,5
biography,61,lord roberts lord,5
biography,62,south african veterans,5
biography,63,morning october th,5
biography,64,director perkins institution,5
biography,65,letter mr anagnos,5
biography,66,many new words,5
biography,67,little deaf child,5
biography,68,american association promote,5
biography,69,association promote teaching,5
biography,70,promote teaching speech,5
biography,71,books raised print,5
biography,72,means manual alphabet,5
biography,73,school new york,5
biography,74,dear mr anagnos,5
biography,75,deaf blind child,5
biography,76,miss keller speech,5
biography,77,gold precious stones,5
biography,78,printing office near,4
biography,79,first visit boston,4
biography,80,twelve years old,4
biography,81,man united kingdom,4
biography,82,tour british america,4
biography,83,officers army navy,4
biography,84,new york tribune,4
biography,85,enthusiastic reception given,4
biography,86,reception government house,4
biography,87,lieutenant general sir,4
biography,88,day visit paid,4
biography,89,agricultural society england,4
biography,90,princess wales princess,4
biography,91,held government house,4
biography,92,lord suffield lord,4
biography,93,government house evening,4
biography,94,people great britain,4
biography,95,position heir apparent,4
biography,96,july th year,4
biography,97,lord salisbury lord,4
biography,98,upon one occasion,4
biography,99,thompson new york,4
biography,100,twenty five thousand,4
fantasy,1,said mock turtle,20
fantasy,2,said humpty dumpty,14
fantasy,3,road yellow brick,12
fantasy,4,get back kansas,11
fantasy,5,said little man,10
fantasy,6,said march hare,10
fantasy,7,send back kansas,9
fantasy,8,wicked witch east,8
fantasy,9,soldier green whiskers,8
fantasy,10,one one one,8
fantasy,11,said old woman,8
fantasy,12,mother killed little,8
fantasy,13,father grieved gone,8
fantasy,14,sister loved best,8
fantasy,15,laid kerchief took,8
fantasy,16,kerchief took bones,8
fantasy,17,took bones might,8
fantasy,18,bones might lie,8
fantasy,19,kywitt kywitt beautiful,8
fantasy,20,shall trouble reader,8
fantasy,21,little old woman,7
fantasy,22,looking glass house,7
fantasy,23,humpty dumpty said,7
fantasy,24,till last came,7
fantasy,25,underneath juniper tree,7
fantasy,26,juniper tree kywitt,7
fantasy,27,tree kywitt kywitt,7
fantasy,28,mother good evening,7
fantasy,29,two hundred yards,7
fantasy,30,oz great terrible,6
fantasy,31,poor little thing,6
fantasy,32,wretch enough yet,6
fantasy,33,man sea hearken,6
fantasy,34,sea hearken wife,6
fantasy,35,hearken wife ilsabill,6
fantasy,36,wife ilsabill hath,6
fantasy,37,ilsabill hath sent,6
fantasy,38,hath sent beg,6
fantasy,39,sent beg boon,6
fantasy,40,beg boon thee,6
fantasy,41,go home said,6
fantasy,42,home said fish,6
fantasy,43,blow breezes blow,6
fantasy,44,breezes blow let,6
fantasy,45,pick pick pick,6
fantasy,46,might lie underneath,6
fantasy,47,lie underneath juniper,6
fantasy,48,behave well goodbye,6
fantasy,49,well goodbye mother,6
fantasy,50,goodbye mother goodbye,6
fantasy,51,good evening mother,6
fantasy,52,evening mother good,6
fantasy,53,take took nothing,6
fantasy,54,never mind better,6
fantasy,55,man mountain shall,6
fantasy,56,three four times,6
fantasy,57,brains said scarecrow,5
fantasy,58,heart said tin,5
fantasy,59,emerald city said,5
fantasy,60,great throne room,5
fantasy,61,kill wicked witch,5
fantasy,62,call winged monkeys,5
fantasy,63,let us go,5
fantasy,64,many years ago,5
fantasy,65,little golden key,5
fantasy,66,white kid gloves,5
fantasy,67,march hare said,5
fantasy,68,mock turtle said,5
fantasy,69,twenty four hours,5
fantasy,70,oh oh oh,5
fantasy,71,shall cost thee,5
fantasy,72,said open door,5
fantasy,73,alas alas thy,5
fantasy,74,alas thy mother,5
fantasy,75,thy mother knew,5
fantasy,76,mother knew sadly,5
fantasy,77,knew sadly sadly,5
