partition_id,book,genre,start_token,text,word_count
TheWonderfulWizardOfOz_partition_a,TheWonderfulWizardOfOz,fantasy,7296,"at the tin legs, which hurt his teeth. “Did you groan?” asked Dorothy. “Yes,” answered the tin man, “I did. I’ve been groaning for more than a year, and no one has ever heard me before or come to help me.” “What can I do for you?” she inquired softly, for she was moved by the sad voice in which the man spoke. “Get an oil-can and oil my joints,” he answered. “They are rusted so badly that I cannot move them at all; if I am well oiled I shall soon be all right again. You will find an",100
TheWonderfulWizardOfOz_partition_b,TheWonderfulWizardOfOz,fantasy,1639,"her eyes growing bigger and bigger at the wonderful sights she saw. The cyclone had set the house down very gently—for a cyclone—in the midst of a country of marvelous beauty. There were lovely patches of greensward all about, with stately trees bearing rich and luscious fruits. Banks of gorgeous flowers were on every hand, and birds with rare and brilliant plumage sang and fluttered in the trees and bushes. A little way off was a small brook, rushing and sparkling along between green banks, and murmuring in a voice very grateful to a little girl who had lived so",100
TheWonderfulWizardOfOz_partition_c,TheWonderfulWizardOfOz,fantasy,18024,"him your message. He said he will grant you an audience, if you so desire; but each one of you must enter his presence alone, and he will admit but one each day. Therefore, as you must remain in the Palace for several days, I will have you shown to rooms where you may rest in comfort after your journey.” “Thank you,” replied the girl; “that is very kind of Oz.” The soldier now blew upon a green whistle, and at once a young girl, dressed in a pretty green silk gown, entered the room. She had lovely green hair",100
TheWonderfulWizardOfOz_partition_d,TheWonderfulWizardOfOz,fantasy,16049,"like something to eat besides fruit,” said the girl, “and I’m sure Toto is nearly starved. Let us stop at the next house and talk to the people.” So, when they came to a good-sized farmhouse, Dorothy walked boldly up to the door and knocked. A woman opened it just far enough to look out, and said, “What do you want, child, and why is that great Lion with you?” “We wish to pass the night with you, if you will allow us,” answered Dorothy; “and the Lion is my friend and comrade, and would not hurt you for the",100
TheWonderfulWizardOfOz_partition_e,TheWonderfulWizardOfOz,fantasy,14628,"must all serve him, and obey his slightest wish.” “We will!” cried all the mice, in a shrill chorus. And then they scampered in all directions, for Toto had awakened from his sleep, and seeing all these mice around him he gave one bark of delight and jumped right into the middle of the group. Toto had always loved to chase mice when he lived in Kansas, and he saw no harm in it. But the Tin Woodman caught the dog in his arms and held him tight, while he called to the mice, “Come back! Come back! Toto shall",100
TheWonderfulWizardOfOz_partition_f,TheWonderfulWizardOfOz,fantasy,9144,"Emerald City. But my father went there once, when I was a boy, and he said it was a long journey through a dangerous country, although nearer to the city where Oz dwells the country is beautiful. But I am not afraid so long as I have my oil-can, and nothing can hurt the Scarecrow, while you bear upon your forehead the mark of the Good Witch’s kiss, and that will protect you from harm.” “But Toto!” said the girl anxiously. “What will protect him?” “We must protect him ourselves if he is in danger,” replied the Tin Woodman. Just",100
TheWonderfulWizardOfOz_partition_g,TheWonderfulWizardOfOz,fantasy,6717,"said Dorothy. “Certainly; that is why I know it,” returned the Scarecrow. “If it required brains to figure it out, I never should have said it.” After an hour or so the light faded away, and they found themselves stumbling along in the darkness. Dorothy could not see at all, but Toto could, for some dogs see very well in the dark; and the Scarecrow declared he could see as well as by day. So she took hold of his arm and managed to get along fairly well. “If you see any house, or any place where we can pass",100
TheWonderfulWizardOfOz_partition_h,TheWonderfulWizardOfOz,fantasy,35741,"you mean by coming here and frightening my cow?” “I’m very sorry,” returned Dorothy. “Please forgive us.” But the pretty milkmaid was much too vexed to make any answer. She picked up the leg sulkily and led her cow away, the poor animal limping on three legs. As she left them the milkmaid cast many reproachful glances over her shoulder at the clumsy strangers, holding her nicked elbow close to her side. Dorothy was quite grieved at this mishap. “We must be very careful here,” said the kind-hearted Woodman, “or we may hurt these pretty little people so they will",100
TheWonderfulWizardOfOz_partition_i,TheWonderfulWizardOfOz,fantasy,5697,"I could eat, the straw I am stuffed with would come out, and that would spoil the shape of my head.” Dorothy saw at once that this was true, so she only nodded and went on eating her bread. “Tell me something about yourself and the country you came from,” said the Scarecrow, when she had finished her dinner. So she told him all about Kansas, and how gray everything was there, and how the cyclone had carried her to this queer Land of Oz. The Scarecrow listened carefully, and said, “I cannot understand why you should wish to leave",100
TheWonderfulWizardOfOz_partition_j,TheWonderfulWizardOfOz,fantasy,38698,"Winged Monkeys to carry you to the gates of the Emerald City,” said Glinda, “for it would be a shame to deprive the people of so wonderful a ruler.” “Am I really wonderful?” asked the Scarecrow. “You are unusual,” replied Glinda. Turning to the Tin Woodman, she asked, “What will become of you when Dorothy leaves this country?” He leaned on his axe and thought a moment. Then he said, “The Winkies were very kind to me, and wanted me to rule over them after the Wicked Witch died. I am fond of the Winkies, and if I could get",100
