book,genre,rank,ngram,count
TheWonderfulWizardOfOz,fantasy,1,wicked witch,60
TheWonderfulWizardOfOz,fantasy,2,emerald city,57
TheWonderfulWizardOfOz,fantasy,3,little girl,32
TheWonderfulWizardOfOz,fantasy,4,winged monkeys,30
TheWonderfulWizardOfOz,fantasy,5,aunt em,24
TheWonderfulWizardOfOz,fantasy,6,golden cap,23
TheWonderfulWizardOfOz,fantasy,7,good bye,22
TheWonderfulWizardOfOz,fantasy,8,throne room,22
TheWonderfulWizardOfOz,fantasy,9,silver shoes,20
TheWonderfulWizardOfOz,fantasy,10,get back,17
TheWonderfulWizardOfOz,fantasy,11,yellow brick,16
TheWonderfulWizardOfOz,fantasy,12,uncle henry,13
TheWonderfulWizardOfOz,fantasy,13,three times,13
TheWonderfulWizardOfOz,fantasy,14,great wizard,13
TheWonderfulWizardOfOz,fantasy,15,next morning,13
TheWonderfulWizardOfOz,fantasy,16,guardian gates,12
TheWonderfulWizardOfOz,fantasy,17,old woman,12
TheWonderfulWizardOfOz,fantasy,18,witch east,12
TheWonderfulWizardOfOz,fantasy,19,witch west,12
TheWonderfulWizardOfOz,fantasy,20,road yellow,12
TheWonderfulWizardOfOz,fantasy,21,send back,12
TheWonderfulWizardOfOz,fantasy,22,little man,12
TheWonderfulWizardOfOz,fantasy,23,said girl,11
TheWonderfulWizardOfOz,fantasy,24,stuffed straw,11
TheWonderfulWizardOfOz,fantasy,25,good witch,10
TheWonderfulWizardOfOz,fantasy,26,many years,10
TheWonderfulWizardOfOz,fantasy,27,give brains,10
TheWonderfulWizardOfOz,fantasy,28,must go,9
TheWonderfulWizardOfOz,fantasy,29,went back,9
TheWonderfulWizardOfOz,fantasy,30,said must,9
TheWonderfulWizardOfOz,fantasy,31,heart said,9
TheWonderfulWizardOfOz,fantasy,32,little old,8
TheWonderfulWizardOfOz,fantasy,33,oh yes,8
TheWonderfulWizardOfOz,fantasy,34,find way,8
TheWonderfulWizardOfOz,fantasy,35,walked along,8
TheWonderfulWizardOfOz,fantasy,36,asked girl,8
TheWonderfulWizardOfOz,fantasy,37,well said,8
TheWonderfulWizardOfOz,fantasy,38,let us,8
TheWonderfulWizardOfOz,fantasy,39,see great,8
TheWonderfulWizardOfOz,fantasy,40,said cowardly,8
TheWonderfulWizardOfOz,fantasy,41,shall never,8
TheWonderfulWizardOfOz,fantasy,42,green girl,8
TheWonderfulWizardOfOz,fantasy,43,great terrible,8
TheWonderfulWizardOfOz,fantasy,44,soldier green,8
TheWonderfulWizardOfOz,fantasy,45,green whiskers,8
TheWonderfulWizardOfOz,fantasy,46,lovely lady,8
TheWonderfulWizardOfOz,fantasy,47,four travelers,8
TheWonderfulWizardOfOz,fantasy,48,country quadlings,7
TheWonderfulWizardOfOz,fantasy,49,little woman,7
TheWonderfulWizardOfOz,fantasy,50,said little,7
TheWonderfulWizardOfOz,fantasy,51,give heart,7
TheWonderfulWizardOfOz,fantasy,52,upon journey,7
TheWonderfulWizardOfOz,fantasy,53,shall get,7
TheWonderfulWizardOfOz,fantasy,54,come back,7
TheWonderfulWizardOfOz,fantasy,55,around neck,7
TheWonderfulWizardOfOz,fantasy,56,said come,7
TheWonderfulWizardOfOz,fantasy,57,green silk,7
TheWonderfulWizardOfOz,fantasy,58,king beasts,6
TheWonderfulWizardOfOz,fantasy,59,answered little,6
TheWonderfulWizardOfOz,fantasy,60,back aunt,6
TheWonderfulWizardOfOz,fantasy,61,cannot tell,6
