book,genre,rank,ngram,count
TheWonderfulWizardOfOz,fantasy,1,wicked witch west,12
TheWonderfulWizardOfOz,fantasy,2,road yellow brick,12
TheWonderfulWizardOfOz,fantasy,3,wicked witch east,8
TheWonderfulWizardOfOz,fantasy,4,soldier green whiskers,8
TheWonderfulWizardOfOz,fantasy,5,little old woman,7
TheWonderfulWizardOfOz,fantasy,6,back aunt em,5
TheWonderfulWizardOfOz,fantasy,7,emerald city said,5
TheWonderfulWizardOfOz,fantasy,8,great throne room,5
TheWonderfulWizardOfOz,fantasy,9,kill wicked witch,5
TheWonderfulWizardOfOz,fantasy,10,call winged monkeys,5
TheWonderfulWizardOfOz,fantasy,11,killed wicked witch,4
TheWonderfulWizardOfOz,fantasy,12,get back aunt,4
TheWonderfulWizardOfOz,fantasy,13,go emerald city,4
TheWonderfulWizardOfOz,fantasy,14,give heart said,4
TheWonderfulWizardOfOz,fantasy,15,good bye good,4
TheWonderfulWizardOfOz,fantasy,16,started upon journey,4
TheWonderfulWizardOfOz,fantasy,17,great terrible seek,4
TheWonderfulWizardOfOz,fantasy,18,winged monkeys flew,4
TheWonderfulWizardOfOz,fantasy,19,said little man,4
TheWonderfulWizardOfOz,fantasy,20,command winged monkeys,4
TheWonderfulWizardOfOz,fantasy,21,queen field mice,3
TheWonderfulWizardOfOz,fantasy,22,glinda good witch,3
TheWonderfulWizardOfOz,fantasy,23,silver shoes said,3
TheWonderfulWizardOfOz,fantasy,24,paved yellow brick,3
TheWonderfulWizardOfOz,fantasy,25,come along said,3
TheWonderfulWizardOfOz,fantasy,26,emerald city ask,3
TheWonderfulWizardOfOz,fantasy,27,toward emerald city,3
TheWonderfulWizardOfOz,fantasy,28,way emerald city,3
TheWonderfulWizardOfOz,fantasy,29,going emerald city,3
TheWonderfulWizardOfOz,fantasy,30,head stuffed straw,3
TheWonderfulWizardOfOz,fantasy,31,axe slipped cut,3
TheWonderfulWizardOfOz,fantasy,32,give brains said,3
TheWonderfulWizardOfOz,fantasy,33,courage said cowardly,3
TheWonderfulWizardOfOz,fantasy,34,bye good bye,3
TheWonderfulWizardOfOz,fantasy,35,say looks like,3
TheWonderfulWizardOfOz,fantasy,36,mark upon forehead,3
TheWonderfulWizardOfOz,fantasy,37,bade good bye,3
TheWonderfulWizardOfOz,fantasy,38,aunt em uncle,3
TheWonderfulWizardOfOz,fantasy,39,em uncle henry,3
TheWonderfulWizardOfOz,fantasy,40,next morning soldier,3
TheWonderfulWizardOfOz,fantasy,41,morning soldier green,3
TheWonderfulWizardOfOz,fantasy,42,lovely lady said,3
TheWonderfulWizardOfOz,fantasy,43,castle wicked witch,3
TheWonderfulWizardOfOz,fantasy,44,charm golden cap,3
TheWonderfulWizardOfOz,fantasy,45,owner golden cap,3
TheWonderfulWizardOfOz,fantasy,46,four travelers walked,3
TheWonderfulWizardOfOz,fantasy,47,answered little man,3
TheWonderfulWizardOfOz,fantasy,48,hill hammer heads,3
TheWonderfulWizardOfOz,fantasy,49,chapter ii council,2
TheWonderfulWizardOfOz,fantasy,50,ii council munchkins,2
TheWonderfulWizardOfOz,fantasy,51,chapter iii saved,2
TheWonderfulWizardOfOz,fantasy,52,chapter iv road,2
TheWonderfulWizardOfOz,fantasy,53,iv road forest,2
TheWonderfulWizardOfOz,fantasy,54,chapter vi cowardly,2
TheWonderfulWizardOfOz,fantasy,55,chapter vii journey,2
TheWonderfulWizardOfOz,fantasy,56,vii journey great,2
TheWonderfulWizardOfOz,fantasy,57,chapter viii deadly,2
TheWonderfulWizardOfOz,fantasy,58,viii deadly poppy,2
TheWonderfulWizardOfOz,fantasy,59,deadly poppy field,2
TheWonderfulWizardOfOz,fantasy,60,chapter ix queen,2
TheWonderfulWizardOfOz,fantasy,61,ix queen field,2
TheWonderfulWizardOfOz,fantasy,62,emerald city chapter,2
TheWonderfulWizardOfOz,fantasy,63,chapter xii search,2
TheWonderfulWizardOfOz,fantasy,64,xii search wicked,2
TheWonderfulWizardOfOz,fantasy,65,search wicked witch,2
TheWonderfulWizardOfOz,fantasy,66,chapter xiii rescue,2
TheWonderfulWizardOfOz,fantasy,67,chapter xiv winged,2
TheWonderfulWizardOfOz,fantasy,68,xiv winged monkeys,2
TheWonderfulWizardOfOz,fantasy,69,chapter xv discovery,2
TheWonderfulWizardOfOz,fantasy,70,xv discovery terrible,2
TheWonderfulWizardOfOz,fantasy,71,chapter xvi magic,2
TheWonderfulWizardOfOz,fantasy,72,xvi magic art,2
TheWonderfulWizardOfOz,fantasy,73,magic art great,2
TheWonderfulWizardOfOz,fantasy,74,art great humbug,2
TheWonderfulWizardOfOz,fantasy,75,chapter xvii balloon,2
TheWonderfulWizardOfOz,fantasy,76,xvii balloon launched,2
TheWonderfulWizardOfOz,fantasy,77,chapter xviii away,2
TheWonderfulWizardOfOz,fantasy,78,xviii away south,2
TheWonderfulWizardOfOz,fantasy,79,chapter xix attacked,2
