book,genre,rank,ngram,count
TheWonderfulWizardOfOz,fantasy,1,said,332
TheWonderfulWizardOfOz,fantasy,2,great,142
TheWonderfulWizardOfOz,fantasy,3,little,139
TheWonderfulWizardOfOz,fantasy,4,witch,129
TheWonderfulWizardOfOz,fantasy,5,one,126
TheWonderfulWizardOfOz,fantasy,6,asked,114
TheWonderfulWizardOfOz,fantasy,7,green,104
TheWonderfulWizardOfOz,fantasy,8,came,104
TheWonderfulWizardOfOz,fantasy,9,good,102
TheWonderfulWizardOfOz,fantasy,10,back,98
TheWonderfulWizardOfOz,fantasy,11,see,95
TheWonderfulWizardOfOz,fantasy,12,girl,94
TheWonderfulWizardOfOz,fantasy,13,head,90
TheWonderfulWizardOfOz,fantasy,14,made,88
TheWonderfulWizardOfOz,fantasy,15,upon,85
TheWonderfulWizardOfOz,fantasy,16,get,85
TheWonderfulWizardOfOz,fantasy,17,city,82
TheWonderfulWizardOfOz,fantasy,18,shall,82
TheWonderfulWizardOfOz,fantasy,19,answered,78
TheWonderfulWizardOfOz,fantasy,20,must,75
TheWonderfulWizardOfOz,fantasy,21,man,75
TheWonderfulWizardOfOz,fantasy,22,wicked,74
TheWonderfulWizardOfOz,fantasy,23,go,72
TheWonderfulWizardOfOz,fantasy,24,country,69
TheWonderfulWizardOfOz,fantasy,25,away,68
TheWonderfulWizardOfOz,fantasy,26,come,67
TheWonderfulWizardOfOz,fantasy,27,heart,67
TheWonderfulWizardOfOz,fantasy,28,well,66
TheWonderfulWizardOfOz,fantasy,29,us,65
TheWonderfulWizardOfOz,fantasy,30,long,64
TheWonderfulWizardOfOz,fantasy,31,way,64
TheWonderfulWizardOfOz,fantasy,32,like,64
TheWonderfulWizardOfOz,fantasy,33,looked,61
TheWonderfulWizardOfOz,fantasy,34,emerald,60
TheWonderfulWizardOfOz,fantasy,35,room,60
TheWonderfulWizardOfOz,fantasy,36,never,59
TheWonderfulWizardOfOz,fantasy,37,people,59
TheWonderfulWizardOfOz,fantasy,38,saw,58
TheWonderfulWizardOfOz,fantasy,39,brains,56
TheWonderfulWizardOfOz,fantasy,40,know,55
TheWonderfulWizardOfOz,fantasy,41,thought,53
TheWonderfulWizardOfOz,fantasy,42,replied,51
TheWonderfulWizardOfOz,fantasy,43,eyes,50
TheWonderfulWizardOfOz,fantasy,44,many,49
TheWonderfulWizardOfOz,fantasy,45,big,49
TheWonderfulWizardOfOz,fantasy,46,first,49
TheWonderfulWizardOfOz,fantasy,47,chapter,48
TheWonderfulWizardOfOz,fantasy,48,make,48
TheWonderfulWizardOfOz,fantasy,49,forest,47
TheWonderfulWizardOfOz,fantasy,50,found,47
TheWonderfulWizardOfOz,fantasy,51,road,46
TheWonderfulWizardOfOz,fantasy,52,walked,46
TheWonderfulWizardOfOz,fantasy,53,time,45
TheWonderfulWizardOfOz,fantasy,54,ever,45
TheWonderfulWizardOfOz,fantasy,55,monkeys,44
TheWonderfulWizardOfOz,fantasy,56,soon,44
TheWonderfulWizardOfOz,fantasy,57,much,44
TheWonderfulWizardOfOz,fantasy,58,went,43
TheWonderfulWizardOfOz,fantasy,59,around,42
TheWonderfulWizardOfOz,fantasy,60,give,41
TheWonderfulWizardOfOz,fantasy,61,wizard,39
TheWonderfulWizardOfOz,fantasy,62,day,39
TheWonderfulWizardOfOz,fantasy,63,oh,39
TheWonderfulWizardOfOz,fantasy,64,think,39
TheWonderfulWizardOfOz,fantasy,65,beautiful,38
TheWonderfulWizardOfOz,fantasy,66,cannot,38
TheWonderfulWizardOfOz,fantasy,67,help,38
TheWonderfulWizardOfOz,fantasy,68,old,37
TheWonderfulWizardOfOz,fantasy,69,trees,36
TheWonderfulWizardOfOz,fantasy,70,land,36
TheWonderfulWizardOfOz,fantasy,71,arms,36
TheWonderfulWizardOfOz,fantasy,72,air,36
TheWonderfulWizardOfOz,fantasy,73,stood,35
TheWonderfulWizardOfOz,fantasy,74,quite,35
TheWonderfulWizardOfOz,fantasy,75,winged,34
TheWonderfulWizardOfOz,fantasy,76,voice,34
TheWonderfulWizardOfOz,fantasy,77,put,34
TheWonderfulWizardOfOz,fantasy,78,woman,34
TheWonderfulWizardOfOz,fantasy,79,house,33
TheWonderfulWizardOfOz,fantasy,80,last,33
TheWonderfulWizardOfOz,fantasy,81,shoes,33
TheWonderfulWizardOfOz,fantasy,82,yellow,33
TheWonderfulWizardOfOz,fantasy,83,friends,33
TheWonderfulWizardOfOz,fantasy,84,mice,32
TheWonderfulWizardOfOz,fantasy,85,find,32
TheWonderfulWizardOfOz,fantasy,86,journey,31
TheWonderfulWizardOfOz,fantasy,87,carried,31
TheWonderfulWizardOfOz,fantasy,88,gave,31
TheWonderfulWizardOfOz,fantasy,89,took,31
TheWonderfulWizardOfOz,fantasy,90,cap,31
TheWonderfulWizardOfOz,fantasy,91,straw,31
TheWonderfulWizardOfOz,fantasy,92,next,31
TheWonderfulWizardOfOz,fantasy,93,throne,31
TheWonderfulWizardOfOz,fantasy,94,wish,30
TheWonderfulWizardOfOz,fantasy,95,left,30
TheWonderfulWizardOfOz,fantasy,96,nothing,30
TheWonderfulWizardOfOz,fantasy,97,also,30
TheWonderfulWizardOfOz,fantasy,98,terrible,29
TheWonderfulWizardOfOz,fantasy,99,tree,29
TheWonderfulWizardOfOz,fantasy,100,morning,29
PrideAndPrejudice,romance,1,said,406
PrideAndPrejudice,romance,2,much,337
PrideAndPrejudice,romance,3,miss,315
PrideAndPrejudice,romance,4,must,315
PrideAndPrejudice,romance,5,one,295
PrideAndPrejudice,romance,6,know,244
PrideAndPrejudice,romance,7,though,238
PrideAndPrejudice,romance,8,well,230
PrideAndPrejudice,romance,9,never,230
PrideAndPrejudice,romance,10,think,222
PrideAndPrejudice,romance,11,soon,217
PrideAndPrejudice,romance,12,sister,217
PrideAndPrejudice,romance,13,good,209
PrideAndPrejudice,romance,14,might,206
PrideAndPrejudice,romance,15,may,206
PrideAndPrejudice,romance,16,time,201
PrideAndPrejudice,romance,17,wickham,200
PrideAndPrejudice,romance,18,lady,198
PrideAndPrejudice,romance,19,little,192
PrideAndPrejudice,romance,20,collins,190
PrideAndPrejudice,romance,21,nothing,187
PrideAndPrejudice,romance,22,every,185
PrideAndPrejudice,romance,23,without,177
PrideAndPrejudice,romance,24,lydia,176
PrideAndPrejudice,romance,25,make,171
PrideAndPrejudice,romance,26,dear,163
PrideAndPrejudice,romance,27,shall,163
PrideAndPrejudice,romance,28,first,160
PrideAndPrejudice,romance,29,say,160
PrideAndPrejudice,romance,30,man,158
PrideAndPrejudice,romance,31,room,153
PrideAndPrejudice,romance,32,family,153
PrideAndPrejudice,romance,33,see,153
PrideAndPrejudice,romance,34,great,148
PrideAndPrejudice,romance,35,day,148
PrideAndPrejudice,romance,36,two,145
PrideAndPrejudice,romance,37,mother,137
PrideAndPrejudice,romance,38,however,136
PrideAndPrejudice,romance,39,ever,136
PrideAndPrejudice,romance,40,father,135
PrideAndPrejudice,romance,41,young,133
PrideAndPrejudice,romance,42,made,132
PrideAndPrejudice,romance,43,catherine,132
PrideAndPrejudice,romance,44,give,127
PrideAndPrejudice,romance,45,us,127
PrideAndPrejudice,romance,46,always,126
PrideAndPrejudice,romance,47,hope,125
PrideAndPrejudice,romance,48,many,121
PrideAndPrejudice,romance,49,away,121
PrideAndPrejudice,romance,50,long,119
PrideAndPrejudice,romance,51,last,119
PrideAndPrejudice,romance,52,letter,118
PrideAndPrejudice,romance,53,way,115
PrideAndPrejudice,romance,54,friend,115
PrideAndPrejudice,romance,55,cannot,114
PrideAndPrejudice,romance,56,thought,112
PrideAndPrejudice,romance,57,enough,111
PrideAndPrejudice,romance,58,house,110
PrideAndPrejudice,romance,59,go,107
PrideAndPrejudice,romance,60,felt,106
PrideAndPrejudice,romance,61,sure,106
PrideAndPrejudice,romance,62,replied,103
PrideAndPrejudice,romance,63,love,102
PrideAndPrejudice,romance,64,saw,102
PrideAndPrejudice,romance,65,indeed,100
PrideAndPrejudice,romance,66,quite,98
PrideAndPrejudice,romance,67,better,98
PrideAndPrejudice,romance,68,wish,98
PrideAndPrejudice,romance,69,come,98
PrideAndPrejudice,romance,70,manner,97
PrideAndPrejudice,romance,71,lizzy,97
PrideAndPrejudice,romance,72,gardiner,97
PrideAndPrejudice,romance,73,till,96
PrideAndPrejudice,romance,74,even,95
PrideAndPrejudice,romance,75,pleasure,94
PrideAndPrejudice,romance,76,came,94
PrideAndPrejudice,romance,77,done,93
PrideAndPrejudice,romance,78,oh,93
PrideAndPrejudice,romance,79,feelings,92
PrideAndPrejudice,romance,80,often,92
PrideAndPrejudice,romance,81,really,91
PrideAndPrejudice,romance,82,cried,91
PrideAndPrejudice,romance,83,believe,90
PrideAndPrejudice,romance,84,perhaps,89
PrideAndPrejudice,romance,85,like,89
PrideAndPrejudice,romance,86,chapter,89
PrideAndPrejudice,romance,87,aunt,88
PrideAndPrejudice,romance,88,longbourn,88
PrideAndPrejudice,romance,89,subject,87
PrideAndPrejudice,romance,90,charlotte,87
PrideAndPrejudice,romance,91,heard,87
PrideAndPrejudice,romance,92,daughter,84
PrideAndPrejudice,romance,93,take,83
PrideAndPrejudice,romance,94,ladies,83
PrideAndPrejudice,romance,95,happy,83
PrideAndPrejudice,romance,96,anything,81
PrideAndPrejudice,romance,97,less,81
PrideAndPrejudice,romance,98,whole,80
PrideAndPrejudice,romance,99,seen,79
PrideAndPrejudice,romance,100,place,79
OnTheTrailOfTheSpacePirates,sci-fi,1,strong,506
OnTheTrailOfTheSpacePirates,sci-fi,2,said,301
OnTheTrailOfTheSpacePirates,sci-fi,3,ship,248
OnTheTrailOfTheSpacePirates,sci-fi,4,space,240
OnTheTrailOfTheSpacePirates,sci-fi,5,one,209
OnTheTrailOfTheSpacePirates,sci-fi,6,sir,189
OnTheTrailOfTheSpacePirates,sci-fi,7,solar,176
OnTheTrailOfTheSpacePirates,sci-fi,8,two,160
OnTheTrailOfTheSpacePirates,sci-fi,9,get,149
OnTheTrailOfTheSpacePirates,sci-fi,10,turned,147
OnTheTrailOfTheSpacePirates,sci-fi,11,guard,146
OnTheTrailOfTheSpacePirates,sci-fi,12,captain,136
OnTheTrailOfTheSpacePirates,sci-fi,13,man,133
OnTheTrailOfTheSpacePirates,sci-fi,14,back,133
OnTheTrailOfTheSpacePirates,sci-fi,15,three,125
OnTheTrailOfTheSpacePirates,sci-fi,16,cadets,124
OnTheTrailOfTheSpacePirates,sci-fi,17,right,122
OnTheTrailOfTheSpacePirates,sci-fi,18,simms,119
OnTheTrailOfTheSpacePirates,sci-fi,19,deck,118
OnTheTrailOfTheSpacePirates,sci-fi,20,cadet,110
OnTheTrailOfTheSpacePirates,sci-fi,21,asked,108
OnTheTrailOfTheSpacePirates,sci-fi,22,men,107
OnTheTrailOfTheSpacePirates,sci-fi,23,around,101
OnTheTrailOfTheSpacePirates,sci-fi,24,blast,94
OnTheTrailOfTheSpacePirates,sci-fi,25,control,92
OnTheTrailOfTheSpacePirates,sci-fi,26,polaris,91
OnTheTrailOfTheSpacePirates,sci-fi,27,take,89
OnTheTrailOfTheSpacePirates,sci-fi,28,know,89
OnTheTrailOfTheSpacePirates,sci-fi,29,got,88
OnTheTrailOfTheSpacePirates,sci-fi,30,replied,85
OnTheTrailOfTheSpacePirates,sci-fi,31,radar,85
OnTheTrailOfTheSpacePirates,sci-fi,32,well,84
OnTheTrailOfTheSpacePirates,sci-fi,33,away,84
OnTheTrailOfTheSpacePirates,sci-fi,34,suddenly,80
OnTheTrailOfTheSpacePirates,sci-fi,35,hawks,79
OnTheTrailOfTheSpacePirates,sci-fi,36,asteroid,78
OnTheTrailOfTheSpacePirates,sci-fi,37,going,77
OnTheTrailOfTheSpacePirates,sci-fi,38,jet,77
OnTheTrailOfTheSpacePirates,sci-fi,39,like,76
OnTheTrailOfTheSpacePirates,sci-fi,40,see,76
