book,genre,rank,ngram,count
TheWonderfulWizardOfOz,fantasy,1,dorothy,369
TheWonderfulWizardOfOz,fantasy,2,said,332
TheWonderfulWizardOfOz,fantasy,3,scarecrow,225
TheWonderfulWizardOfOz,fantasy,4,woodman,183
TheWonderfulWizardOfOz,fantasy,5,lion,180
TheWonderfulWizardOfOz,fantasy,6,oz,164
TheWonderfulWizardOfOz,fantasy,7,great,142
TheWonderfulWizardOfOz,fantasy,8,tin,140
TheWonderfulWizardOfOz,fantasy,9,little,139
TheWonderfulWizardOfOz,fantasy,10,witch,129
TheWonderfulWizardOfOz,fantasy,11,one,126
TheWonderfulWizardOfOz,fantasy,12,could,120
TheWonderfulWizardOfOz,fantasy,13,asked,114
TheWonderfulWizardOfOz,fantasy,14,would,113
TheWonderfulWizardOfOz,fantasy,15,green,104
TheWonderfulWizardOfOz,fantasy,16,came,104
TheWonderfulWizardOfOz,fantasy,17,good,102
TheWonderfulWizardOfOz,fantasy,18,back,98
TheWonderfulWizardOfOz,fantasy,19,see,95
TheWonderfulWizardOfOz,fantasy,20,girl,94
TheWonderfulWizardOfOz,fantasy,21,toto,93
TheWonderfulWizardOfOz,fantasy,22,head,90
TheWonderfulWizardOfOz,fantasy,23,made,88
TheWonderfulWizardOfOz,fantasy,24,upon,85
TheWonderfulWizardOfOz,fantasy,25,get,85
TheWonderfulWizardOfOz,fantasy,26,city,82
TheWonderfulWizardOfOz,fantasy,27,shall,82
TheWonderfulWizardOfOz,fantasy,28,answered,78
TheWonderfulWizardOfOz,fantasy,29,must,75
TheWonderfulWizardOfOz,fantasy,30,man,75
TheWonderfulWizardOfOz,fantasy,31,wicked,74
TheWonderfulWizardOfOz,fantasy,32,go,72
TheWonderfulWizardOfOz,fantasy,33,country,69
TheWonderfulWizardOfOz,fantasy,34,away,68
TheWonderfulWizardOfOz,fantasy,35,come,67
TheWonderfulWizardOfOz,fantasy,36,heart,67
TheWonderfulWizardOfOz,fantasy,37,well,66
TheWonderfulWizardOfOz,fantasy,38,us,65
TheWonderfulWizardOfOz,fantasy,39,long,64
TheWonderfulWizardOfOz,fantasy,40,way,64
TheWonderfulWizardOfOz,fantasy,41,like,64
TheWonderfulWizardOfOz,fantasy,42,looked,61
TheWonderfulWizardOfOz,fantasy,43,emerald,60
TheWonderfulWizardOfOz,fantasy,44,room,60
TheWonderfulWizardOfOz,fantasy,45,never,59
TheWonderfulWizardOfOz,fantasy,46,people,59
TheWonderfulWizardOfOz,fantasy,47,saw,58
TheWonderfulWizardOfOz,fantasy,48,brains,56
TheWonderfulWizardOfOz,fantasy,49,know,55
TheWonderfulWizardOfOz,fantasy,50,thought,53
TheWonderfulWizardOfOz,fantasy,51,kansas,51
TheWonderfulWizardOfOz,fantasy,52,replied,51
TheWonderfulWizardOfOz,fantasy,53,eyes,50
TheWonderfulWizardOfOz,fantasy,54,many,49
TheWonderfulWizardOfOz,fantasy,55,big,49
TheWonderfulWizardOfOz,fantasy,56,first,49
TheWonderfulWizardOfOz,fantasy,57,chapter,48
TheWonderfulWizardOfOz,fantasy,58,make,48
TheWonderfulWizardOfOz,fantasy,59,forest,47
TheWonderfulWizardOfOz,fantasy,60,found,47
TheWonderfulWizardOfOz,fantasy,61,road,46
TheWonderfulWizardOfOz,fantasy,62,walked,46
TheWonderfulWizardOfOz,fantasy,63,time,45
TheWonderfulWizardOfOz,fantasy,64,ever,45
TheWonderfulWizardOfOz,fantasy,65,monkeys,44
TheWonderfulWizardOfOz,fantasy,66,soon,44
TheWonderfulWizardOfOz,fantasy,67,much,44
TheWonderfulWizardOfOz,fantasy,68,went,43
TheWonderfulWizardOfOz,fantasy,69,around,42
TheWonderfulWizardOfOz,fantasy,70,give,41
TheWonderfulWizardOfOz,fantasy,71,wizard,39
TheWonderfulWizardOfOz,fantasy,72,day,39
TheWonderfulWizardOfOz,fantasy,73,oh,39
TheWonderfulWizardOfOz,fantasy,74,think,39
TheWonderfulWizardOfOz,fantasy,75,beautiful,38
TheWonderfulWizardOfOz,fantasy,76,cannot,38
TheWonderfulWizardOfOz,fantasy,77,help,38
TheWonderfulWizardOfOz,fantasy,78,old,37
TheWonderfulWizardOfOz,fantasy,79,trees,36
TheWonderfulWizardOfOz,fantasy,80,land,36
TheWonderfulWizardOfOz,fantasy,81,arms,36
TheWonderfulWizardOfOz,fantasy,82,air,36
TheWonderfulWizardOfOz,fantasy,83,stood,35
TheWonderfulWizardOfOz,fantasy,84,quite,35
TheWonderfulWizardOfOz,fantasy,85,winged,34
TheWonderfulWizardOfOz,fantasy,86,voice,34
TheWonderfulWizardOfOz,fantasy,87,put,34
TheWonderfulWizardOfOz,fantasy,88,woman,34
TheWonderfulWizardOfOz,fantasy,89,house,33
TheWonderfulWizardOfOz,fantasy,90,last,33
TheWonderfulWizardOfOz,fantasy,91,shoes,33
TheWonderfulWizardOfOz,fantasy,92,yellow,33
TheWonderfulWizardOfOz,fantasy,93,friends,33
TheWonderfulWizardOfOz,fantasy,94,mice,32
