partition_id,book,genre,start_token,text,word_count
AutobiographyOfBenjaminFranklin_partition_a,AutobiographyOfBenjaminFranklin,biography,14592,"Boston. I took leave of Keimer as going to see my friends. The governor gave me an ample letter, saying many flattering things of me to my father, and strongly recommending the project of my setting up at Philadelphia as a thing that must make my fortune. We struck on a shoal in going down the bay, and sprung a leak; we had a blustering time at sea, and were oblig'd to pump almost continually, at which I took my turn. We arriv'd safe, however, at Boston in about a fortnight. I had been absent seven months, and my friends had heard nothing of me; for my br. Holmes was not yet return'd, and had not written about me. My unexpected appearance surpris'd the family; all were, however, very glad to see me, and made me welcome, except my brother. I went to see him at his printing-house. I was better dress'd than ever while in his service, having a genteel new suit from head to foot, a watch, and my pockets lin'd with near five pounds sterling in silver. He receiv'd me not very frankly, look'd me all over, and turn'd to his work again. [Illustration: The journeymen were inquisitive] The journeymen were inquisitive where I had been, what sort of a country it was, and how I lik'd it. I prais'd it much, and the happy life I led in it, expressing strongly my intention of returning to it; and, one of them asking what kind of money we had there, I produc'd a handful of silver, and spread it before them, which was a kind of raree-show[32] they had not been us'd to, paper being the money of Boston.[33] Then I took an opportunity of letting them see my watch; and, lastly (my brother still grum and sullen), I gave them a piece of eight[34] to drink, and took my leave. This visit of mine offended him extreamly; for, when my mother some time after spoke to him of a reconciliation, and of her wishes to see us on good terms together, and that we might live for the future as brothers, he said I had insulted him in such a manner before his people that he could never forget or forgive it. In this, however, he was mistaken. [32] A peep-show in a box. [33] There were no mints in the colonies, so the metal money",400
AutobiographyOfBenjaminFranklin_partition_b,AutobiographyOfBenjaminFranklin,biography,3278,"translated into all the languages of Europe. It has never lost its popularity and is still in constant demand at circulating libraries. The reason for this popularity is not far to seek. For in this work Franklin told in a remarkable manner the story of a remarkable life. He displayed hard common sense and a practical knowledge of the art of living. He selected and arranged his material, perhaps unconsciously, with the unerring instinct of the journalist for the best effects. His success is not a little due to his plain, clear, vigorous English. He used short sentences and words, homely expressions, apt illustrations, and pointed allusions. Franklin had a most interesting, varied, and unusual life. He was one of the greatest conversationalists of his time. His book is the record of that unusual life told in Franklin's own unexcelled conversational style. It is said that the best parts of Boswell's famous biography of Samuel Johnson are those parts where Boswell permits Johnson to tell his own story. In the _Autobiography_ a no less remarkable man and talker than Samuel Johnson is telling his own story throughout. F. W. P. The Gilman Country School, Baltimore, September, 1916. [Illustration: Pages 1 and 4 of The Pennsylvania Gazette, the first number after Franklin took control. Reduced nearly one-half. Reproduced from a copy at the New York Public Library.] [Transcriber's note: Transcription of these pages are given at the end of the text.] AUTOBIOGRAPHY OF BENJAMIN FRANKLIN I ANCESTRY AND EARLY YOUTH IN BOSTON Twyford,[3] _at the Bishop of St. Asaph's_, 1771. Dear son: I have ever had pleasure in obtaining any little anecdotes of my ancestors. You may remember the inquiries I made among the remains of my relations when you were with me in England, and the journey I undertook for that purpose. Imagining it may be equally agreeable to you to know the circumstances of my life, many of which you are yet unacquainted with, and expecting the enjoyment of a week's uninterrupted leisure in my present country retirement, I sit down to write them for you. To which I have besides some other inducements. Having emerged from the poverty and obscurity in which I was born and bred, to a state of affluence and some degree of reputation in the world, and having gone so far through life with a considerable share of felicity, the conducing means I made",400
AutobiographyOfBenjaminFranklin_partition_c,AutobiographyOfBenjaminFranklin,biography,36048,"in conversation, which makes his company still sought for, and agreeable even to his younger acquaintance. I hope, therefore, that some of my descendants may follow the example and reap the benefit. [71] While there can be no question that Franklin's moral improvement and happiness were due to the practice of these virtues, yet most people will agree that we shall have to go back of his plan for the impelling motive to a virtuous life. Franklin's own suggestion that the scheme smacks of ""foppery in morals"" seems justified. Woodrow Wilson well puts it: ""Men do not take fire from such thoughts, unless something deeper, which is missing here, shine through them. What may have seemed to the eighteenth century a system of morals seems to us nothing more vital than a collection of the precepts of good sense and sound conduct. What redeems it from pettiness in this book is the scope of power and of usefulness to be seen in Franklin himself, who set these standards up in all seriousness and candor for his own life."" See _Galatians_, chapter V, for the Christian plan of moral perfection. It will be remark'd that, tho' my scheme was not wholly without religion, there was in it no mark of any of the distinguishing tenets of any particular sect. I had purposely avoided them; for, being fully persuaded of the utility and excellency of my method, and that it might be serviceable to people in all religions, and intending some time or other to publish it, I would not have anything in it that should prejudice anyone, of any sect, against it. I purposed writing a little comment on each virtue, in which I would have shown the advantages of possessing it, and the mischiefs attending its opposite vice; and I should have called my book The Art of Virtue,[72] because it would have shown the means and manner of obtaining virtue, which would have distinguished it from the mere exhortation to be good, that does not instruct and indicate the means, but is like the apostle's man of verbal charity, who only without showing to the naked and hungry how or where they might get clothes or victuals, exhorted them to be fed and clothed.--James ii. 15, 16. [72] Nothing so likely to make a man's fortune as virtue.--_Marg. note_. But it so happened that my intention of writing and",400
AutobiographyOfBenjaminFranklin_partition_d,AutobiographyOfBenjaminFranklin,biography,32098,"propose it to such as they thought lovers of reading. In this way my affair went on more smoothly, and I ever after practis'd it on such occasions; and, from my frequent successes, can heartily recommend it. The present little sacrifice of your vanity will afterwards be amply repaid. If it remains a while uncertain to whom the merit belongs, someone more vain than yourself will be encouraged to claim it, and then even envy will be disposed to do you justice by plucking those assumed feathers, and restoring them to their right owner. This library afforded me the means of improvement by constant study, for which I set apart an hour or two each day, and thus repair'd in some degree the loss of the learned education my father once intended for me. Reading was the only amusement I allow'd myself. I spent no time in taverns, games, or frolicks of any kind; and my industry in my business continu'd as indefatigable as it was necessary. I was indebted for my printing-house; I had a young family coming on to be educated, and I had to contend with for business two printers, who were established in the place before me. My circumstances, however, grew daily easier. My original habits of frugality continuing, and my father having, among his instructions to me when a boy, frequently repeated a proverb of Solomon, ""Seest thou a man diligent in his calling, he shall stand before kings, he shall not stand before mean men,"" I from thence considered industry as a means of obtaining wealth and distinction, which encourag'd me, tho' I did not think that I should ever literally _stand before kings_, which, however, has since happened; for I have stood before _five_, and even had the honor of sitting down with one, the King of Denmark, to dinner. We have an English proverb that says, ""_He that would thrive, must ask his wife_."" It was lucky for me that I had one as much dispos'd to industry and frugality as myself. She assisted me chearfully in my business, folding and stitching pamphlets, tending shop, purchasing old linen rags for the paper-makers, etc., etc. We kept no idle servants, our table was plain and simple, our furniture of the cheapest. For instance, my breakfast was a long time break and milk (no tea), and I ate it out of a twopenny earthen",400
AutobiographyOfBenjaminFranklin_partition_e,AutobiographyOfBenjaminFranklin,biography,29256,"deserting it one after another. [59] Recalled to be redeemed. [60] This part of Philadelphia is now the center of the wholesale business district. Our debates possess'd me so fully of the subject, that I wrote and printed an anonymous pamphlet on it, entitled ""_The Nature and Necessity of a Paper Currency_."" It was well receiv'd by the common people in general; but the rich men dislik'd it, for it increas'd and strengthen'd the clamor for more money, and they happening to have no writers among them that were able to answer it, their opposition slacken'd, and the point was carried by a majority in the House. My friends there, who conceiv'd I had been of some service, thought fit to reward me by employing me in printing the money; a very profitable jobb and a great help to me. This was another advantage gain'd by my being able to write. The utility of this currency became by time and experience so evident as never afterwards to be much disputed; so that it grew soon to fifty-five thousand pounds, and in 1739 to eighty thousand pounds, since which it arose during war to upwards of three hundred and fifty thousand pounds, trade, building, and inhabitants all the while increasing, tho' I now think there are limits beyond which the quantity may be hurtful.[61] [61] Paper money is a promise to pay its face value in gold or silver. When a state or nation issues more such promises than there is a likelihood of its being able to redeem, the paper representing the promises depreciates in value. Before the success of the Colonies in the Revolution was assured, it took hundreds of dollars of their paper money to buy a pair of boots. I soon after obtain'd, thro' my friend Hamilton, the printing of the Newcastle paper money, another profitable jobb as I then thought it; small things appearing great to those in small circumstances; and these, to me, were really great advantages, as they were great encouragements. He procured for me, also, the printing of the laws and votes of that government, which continu'd in my hands as long as I follow'd the business. I now open'd a little stationer's shop. I had in it blanks of all sorts, the correctest that ever appear'd among us, being assisted in that by my friend Breintnal. I had also paper, parchment, chapmen's",400
AutobiographyOfBenjaminFranklin_partition_f,AutobiographyOfBenjaminFranklin,biography,18289,"and repeated; Watson and Osborne gave up the contest, and join'd in applauding it. Ralph only made some criticisms, and propos'd some amendments; but I defended my text. Osborne was against Ralph, and told him he was no better a critic than poet, so he dropt the argument. As they two went home together, Osborne expressed himself still more strongly in favor of what he thought my production; having restrain'd himself before, as he said, lest I should think it flattery. ""But who would have imagin'd,"" said he, ""that Franklin had been capable of such a performance; such painting, such force, such fire! He has even improv'd the original. In his common conversation he seems to have no choice of words; he hesitates and blunders; and yet, good God! how he writes!"" When we next met, Ralph discovered the trick we had plaid him, and Osborne was a little laughed at. This transaction fixed Ralph in his resolution of becoming a poet. I did all I could to dissuade him from it, but he continued scribbling verses till _Pope_ cured him.[35] He became, however, a pretty good prose writer. More of him hereafter. But, as I may not have occasion again to mention the other two, I shall just remark here, that Watson died in my arms a few years after, much lamented, being the best of our set. Osborne went to the West Indies, where he became an eminent lawyer and made money, but died young. He and I had made a serious agreement, that the one who happen'd first to die should, if possible, make a friendly visit to the other, and acquaint him how he found things in that separate state. But he never fulfill'd his promise. [35] ""In one of the later editions of the _Dunciad_ occur the following lines: 'Silence, ye wolves! while Ralph to Cynthia howls, And makes night hideous--answer him, ye owls.' To this the poet adds the following note: 'James Ralph, a name inserted after the first editions, not known till he writ a swearing-piece called _Sawney_, very abusive of Dr. Swift, Mr. Gay, and myself.'"" VI FIRST VISIT TO LONDON The governor, seeming to like my company, had me frequently to his house, and his setting me up was always mention'd as a fixed thing. I was to take with me letters recommendatory to a number of his friends, besides the",400
AutobiographyOfBenjaminFranklin_partition_g,AutobiographyOfBenjaminFranklin,biography,13434,"to explain all his views, what interest he reli'd on, and in what manner he intended to proceed. I, who stood by and heard all, saw immediately that one of them was a crafty old sophister, and the other a mere novice. Bradford left me with Keimer, who was greatly surpris'd when I told him who the old man was. Keimer's printing-house, I found, consisted of an old shatter'd press, and one small, worn-out font of English, which he was then using himself, composing an Elegy on Aquilla Rose, before mentioned, an ingenious young man, of excellent character, much respected in the town, clerk of the Assembly, and a pretty poet. Keimer made verses too, but very indifferently. He could not be said to write them, for his manner was to compose them in the types directly out of his head. So there being no copy,[27] but one pair of cases, and the Elegy likely to require all the letter, no one could help him. I endeavour'd to put his press (which he had not yet us'd, and of which he understood nothing) into order fit to be work'd with; and, promising to come and print off his Elegy as soon as he should have got it ready, I return'd to Bradford's, who gave me a little job to do for the present, and there I lodged and dieted. A few days after, Keimer sent for me to print off the Elegy. And now he had got another pair of cases,[28] and a pamphlet to reprint, on which he set me to work. These two printers I found poorly qualified for their business. Bradford had not been bred to it, and was very illiterate; and Keimer, tho' something of a scholar, was a mere compositor, knowing nothing of presswork. He had been one of the French prophets,[29] and could act their enthusiastic agitations. At this time he did not profess any particular religion, but something of all on occasion; was very ignorant of the world, and had, as I afterward found, a good deal of the knave in his composition. He did not like my lodging at Bradford's while I work'd with him. He had a house, indeed, but without furniture, so he could not lodge me; but he got me a lodging at Mr. Read's before mentioned, who was the owner of his house; and, my chest and clothes",400
AutobiographyOfBenjaminFranklin_partition_h,AutobiographyOfBenjaminFranklin,biography,71482,"it as it was worth; put me in mind what good things I might have bought with the rest of the money; and laughed at me so much for my folly, that I cried with vexation; and the reflection gave me more chagrin than the _whistle_ gave me pleasure. This, however, was afterwards of use to me, the impression continuing on my mind; so that often, when I was tempted to buy some unnecessary thing, I said to myself, _Don't give too much for the whistle_; and I saved my money. As I grew up, came into the world, and observed the actions of men, I thought I met with many, very many, who _gave too much for the whistle_. When I saw one too ambitious of court favor, sacrificing his time in attendance on levees, his repose, his liberty, his virtue, and perhaps his friends, to attain it, I have said to myself, _This man gives too much for his whistle_. When I saw another fond of popularity, constantly employing himself in political bustles, neglecting his own affairs, and ruining them by neglect, _He pays, indeed_, said I, _too much for his whistle_. If I knew a miser who gave up every kind of comfortable living, all the pleasure of doing good to others, all the esteem of his fellow citizens, and the joys of benevolent friendship, for the sake of accumulating wealth, _Poor man_, said I, _you pay too much for your whistle_. When I met with a man of pleasure, sacrificing every laudable improvement of the mind, or of his fortune, to mere corporeal sensations, and ruining his health in their pursuit, _Mistaken man_, said I, _you are providing pain for yourself, instead of pleasure; you give too much for your whistle_. If I see one fond of appearance, or fine clothes, fine houses, fine furniture, fine equipages, all above his fortune, for which he contracts debts, and ends his career in a prison, _Alas_! say I, _he has paid dear, very dear, for his whistle_. When I see a beautiful, sweet-tempered girl married to an ill-natured brute of a husband, _What a pity_, say I, _that she should pay so much for a whistle_! In short, I conceive that great part of the miseries of mankind are brought upon them by the false estimates they have made of the value of things, and by their _giving",400
AutobiographyOfBenjaminFranklin_partition_i,AutobiographyOfBenjaminFranklin,biography,11395,"him up, so that we got him in again. His ducking sobered him a little, and he went to sleep, taking first out of his pocket a book, which he desir'd I would dry for him. It proved to be my old favorite author, Bunyan's Pilgrim's Progress, in Dutch, finely printed on good paper, with copper cuts, a dress better than I had ever seen it wear in its own language. I have since found that it has been translated into most of the languages of Europe, and suppose it has been more generally read than any other book, except perhaps the Bible. Honest John was the first that I know of who mix'd narration and dialogue; a method of writing very engaging to the reader, who in the most interesting parts finds himself, as it were, brought into the company and present at the discourse. De Foe in his Cruso, his Moll Flanders, Religious Courtship, Family Instructor, and other pieces, has imitated it with success; and Richardson[26] has done the same in his Pamela, etc. [25] Kill van Kull, the channel separating Staten Island from New Jersey on the north. [26] Samuel Richardson, the father of the English novel, wrote _Pamela_, _Clarissa Harlowe_, and the _History of Sir Charles Grandison_, novels published in the form of letters. When we drew near the island, we found it was at a place where there could be no landing, there being a great surff on the stony beach. So we dropt anchor, and swung round towards the shore. Some people came down to the water edge and hallow'd to us, as we did to them; but the wind was so high, and the surff so loud, that we could not hear so as to understand each other. There were canoes on the shore, and we made signs, and hallow'd that they should fetch us; but they either did not understand us, or thought it impracticable, so they went away, and night coming on, we had no remedy but to wait till the wind should abate; and, in the meantime, the boatman and I concluded to sleep, if we could; and so crowded into the scuttle, with the Dutchman, who was still wet, and the spray beating over the head of our boat, leak'd thro' to us, so that we were soon almost as wet as he. In this manner we lay all",400
AutobiographyOfBenjaminFranklin_partition_j,AutobiographyOfBenjaminFranklin,biography,55302,"waiting impatiently for the return of those he had sent thro' the back parts of Maryland and Virginia to collect waggons. I stayed with him several days, din'd with him daily, and had full opportunity of removing all his prejudices, by the information of what the Assembly had before his arrival actually done, and were still willing to do, to facilitate his operations. When I was about to depart, the returns of waggons to be obtained were brought in, by which it appear'd that they amounted only to twenty-five, and not all of those were in serviceable condition. The general and all the officers were surpris'd, declar'd the expedition was then at an end, being impossible, and exclaim'd against the ministers for ignorantly landing them in a country destitute of the means of conveying their stores, baggage, etc., not less than one hundred and fifty waggons being necessary. I happen'd to say I thought it was pity they had not been landed rather in Pennsylvania, as in that country almost every farmer had his waggon. The general eagerly laid hold of my words, and said, ""Then you, sir, who are a man of interest there, can probably procure them for us; and I beg you will undertake it."" I ask'd what terms were to be offer'd the owners of the waggons, and I was desir'd to put on paper the terms that appeared to me necessary. This I did, and they were agreed to, and a commission and instructions accordingly prepar'd immediately. What those terms were will appear in the advertisement I publish'd as soon as I arriv'd at Lancaster, which being, from the great and sudden effect it produc'd, a piece of some curiosity, I shall insert it at length, as follows: ""Advertisement. ""Lancaster, _April_ 26, 1755. ""Whereas, one hundred and fifty waggons, with four horses to each waggon, and fifteen hundred saddle or pack horses, are wanted for the service of his majesty's forces now about to rendezvous at Will's Creek, and his excellency General Braddock having been pleased to empower me to contract for the hire of the same, I hereby give notice that I shall attend for that purpose at Lancaster from this day to next Wednesday evening, and at York from next Thursday morning till Friday evening, where I shall be ready to agree for waggons and teams, or single horses, on the following terms,",400
