book,genre,ngram_type,ngram,count
AutobiographyOfBenjaminFranklin,biography,unigrams,franklin,132
AutobiographyOfBenjaminFranklin,biography,unigrams,may,107
AutobiographyOfBenjaminFranklin,biography,unigrams,see,69
AutobiographyOfBenjaminFranklin,biography,unigrams,way,49
AutobiographyOfBenjaminFranklin,biography,unigrams,saw,37
AutobiographyOfBenjaminFranklin,biography,unigrams,town,34
AutobiographyOfBenjaminFranklin,biography,unigrams,son,31
AutobiographyOfBenjaminFranklin,biography,unigrams,king,30
AutobiographyOfBenjaminFranklin,biography,unigrams,william,29
AutobiographyOfBenjaminFranklin,biography,unigrams,richard,28
AutobiographyOfBenjaminFranklin,biography,unigrams,french,27
AutobiographyOfBenjaminFranklin,biography,unigrams,case,25
AutobiographyOfBenjaminFranklin,biography,unigrams,john,25
AutobiographyOfBenjaminFranklin,biography,unigrams,ralph,22
AutobiographyOfBenjaminFranklin,biography,unigrams,james,21
AutobiographyOfBenjaminFranklin,biography,unigrams,drew,20
AutobiographyOfBenjaminFranklin,biography,unigrams,benjamin,19
AutobiographyOfBenjaminFranklin,biography,unigrams,fortune,19
AutobiographyOfBenjaminFranklin,biography,unigrams,say,18
AutobiographyOfBenjaminFranklin,biography,unigrams,bradford,18
AutobiographyOfBenjaminFranklin,biography,unigrams,thomas,16
AutobiographyOfBenjaminFranklin,biography,unigrams,royal,16
AutobiographyOfBenjaminFranklin,biography,unigrams,george,15
AutobiographyOfBenjaminFranklin,biography,unigrams,page,14
AutobiographyOfBenjaminFranklin,biography,unigrams,carry,14
AutobiographyOfBenjaminFranklin,biography,unigrams,miles,14
AutobiographyOfBenjaminFranklin,biography,unigrams,hope,13
AutobiographyOfBenjaminFranklin,biography,unigrams,bill,13
AutobiographyOfBenjaminFranklin,biography,bigrams,poor richard,25
AutobiographyOfBenjaminFranklin,biography,bigrams,benjamin franklin,11
AutobiographyOfBenjaminFranklin,biography,bigrams,richard almanac,9
AutobiographyOfBenjaminFranklin,biography,bigrams,royal society,7
AutobiographyOfBenjaminFranklin,biography,bigrams,temple franklin,7
AutobiographyOfBenjaminFranklin,biography,bigrams,sir william,7
AutobiographyOfBenjaminFranklin,biography,bigrams,father abraham,6
AutobiographyOfBenjaminFranklin,biography,bigrams,franklin autobiography,6
AutobiographyOfBenjaminFranklin,biography,bigrams,colonel french,6
AutobiographyOfBenjaminFranklin,biography,bigrams,illustration franklin,5
AutobiographyOfBenjaminFranklin,biography,bigrams,mr hamilton,5
AutobiographyOfBenjaminFranklin,biography,bigrams,may found,5
AutobiographyOfBenjaminFranklin,biography,bigrams,way wealth,4
AutobiographyOfBenjaminFranklin,biography,bigrams,franklin took,4
AutobiographyOfBenjaminFranklin,biography,bigrams,walk see,4
AutobiographyOfBenjaminFranklin,biography,bigrams,see matter,4
AutobiographyOfBenjaminFranklin,biography,bigrams,abraham speech,4
AutobiographyOfBenjaminFranklin,biography,bigrams,want modesty,4
AutobiographyOfBenjaminFranklin,biography,bigrams,west indies,4
AutobiographyOfBenjaminFranklin,biography,bigrams,friend ralph,4
AutobiographyOfBenjaminFranklin,biography,bigrams,mr charles,4
AutobiographyOfBenjaminFranklin,biography,bigrams,first page,3
AutobiographyOfBenjaminFranklin,biography,bigrams,page new,3
AutobiographyOfBenjaminFranklin,biography,bigrams,employed carry,3
AutobiographyOfBenjaminFranklin,biography,bigrams,carry thro,3
AutobiographyOfBenjaminFranklin,biography,bigrams,door saw,3
AutobiographyOfBenjaminFranklin,biography,bigrams,saw thought,3
AutobiographyOfBenjaminFranklin,biography,bigrams,see still,3
AutobiographyOfBenjaminFranklin,biography,bigrams,discourage hope,3
AutobiographyOfBenjaminFranklin,biography,bigrams,hope agreement,3
AutobiographyOfBenjaminFranklin,biography,bigrams,tallow chandler,3
AutobiographyOfBenjaminFranklin,biography,bigrams,franklin must,3
AutobiographyOfBenjaminFranklin,biography,bigrams,franklin paul,3
AutobiographyOfBenjaminFranklin,biography,bigrams,william temple,3
AutobiographyOfBenjaminFranklin,biography,bigrams,franklin works,3
AutobiographyOfBenjaminFranklin,biography,bigrams,may find,3
AutobiographyOfBenjaminFranklin,biography,bigrams,may well,3
AutobiographyOfBenjaminFranklin,biography,bigrams,woodrow wilson,3
AutobiographyOfBenjaminFranklin,biography,bigrams,uncle benjamin,3
AutobiographyOfBenjaminFranklin,biography,bigrams,saw many,3
AutobiographyOfBenjaminFranklin,biography,bigrams,see work,3
AutobiographyOfBenjaminFranklin,biography,bigrams,port royal,3
AutobiographyOfBenjaminFranklin,biography,bigrams,modesty want,3
