genre,rank,ngram,count
biography,1,new york,106
biography,2,following day,72
biography,3,heir apparent,63
biography,4,lord lord,56
biography,5,great britain,55
biography,6,took place,47
biography,7,mr covey,47
biography,8,government house,46
biography,9,july th,45
biography,10,little girl,45
biography,11,good deal,42
biography,12,well known,41
biography,13,first time,41
biography,14,general sir,40
biography,15,south african,38
biography,16,every one,38
biography,17,march th,37
biography,18,manual alphabet,37
biography,19,deaf blind,35
biography,20,little sister,34
biography,21,great deal,33
biography,22,united kingdom,33
biography,23,little friend,33
biography,24,january th,32
biography,25,every day,31
biography,26,days later,31
biography,27,february th,31
biography,28,young man,30
biography,29,state dinner,30
biography,30,one hundred,29
biography,31,printing house,28
biography,32,time time,28
biography,33,late queen,28
biography,34,governor general,28
biography,35,archbishop canterbury,28
biography,36,mr chamberlain,28
biography,37,dear little,28
biography,38,sir sir,27
biography,39,september th,27
biography,40,foundation stone,27
biography,41,december th,27
biography,42,great many,27
biography,43,lord sir,26
biography,44,would like,25
biography,45,one another,24
biography,46,said would,24
biography,47,british empire,24
biography,48,november th,24
biography,49,lord mr,24
biography,50,mr mrs,24
biography,51,little blind,24
biography,52,deaf child,24
biography,53,dear mr,24
biography,54,october th,22
biography,55,mr mr,22
biography,56,would give,21
biography,57,little later,21
biography,58,south boston,21
biography,59,little boy,21
biography,60,take care,20
biography,61,short time,20
biography,62,house commons,20
biography,63,succeeding day,20
biography,64,prime minister,20
biography,65,lord kitchener,20
biography,66,many times,20
biography,67,one could,19
biography,68,heir throne,19
biography,69,new bedford,19
biography,70,one would,18
biography,71,five thousand,18
biography,72,german emperor,18
biography,73,hundred fifty,17
biography,74,would make,17
biography,75,could hardly,17
biography,76,thought would,17
biography,77,national anthem,17
biography,78,thousand people,17
biography,79,little child,17
biography,80,poor little,17
biography,81,one first,16
biography,82,could make,16
biography,83,mr gladstone,16
biography,84,reception given,16
biography,85,three days,16
biography,86,right hon,16
biography,87,one one,16
biography,88,wish could,16
biography,89,many people,16
biography,90,miss read,15
biography,91,would take,15
biography,92,one time,15
biography,93,public life,15
biography,94,late sovereign,15
biography,95,following morning,15
biography,96,lieutenant governor,15
fantasy,1,old woman,68
fantasy,2,wicked witch,60
fantasy,3,emerald city,57
fantasy,4,mock turtle,57
fantasy,5,next morning,49
fantasy,6,little girl,48
fantasy,7,said scarecrow,40
fantasy,8,little man,40
fantasy,9,well said,39
fantasy,10,could get,37
fantasy,11,said little,36
fantasy,12,let go,36
fantasy,13,come back,35
fantasy,14,white queen,35
fantasy,15,queen said,34
fantasy,16,must go,32
fantasy,17,take care,32
fantasy,18,three times,31
fantasy,19,march hare,31
fantasy,20,every day,30
fantasy,21,would give,29
fantasy,22,among us,29
fantasy,23,one side,28
fantasy,24,said would,28
fantasy,25,go home,28
fantasy,26,good bye,27
fantasy,27,said one,27
fantasy,28,one another,27
fantasy,29,said queen,27
fantasy,30,well could,27
fantasy,31,several times,27
fantasy,32,went back,26
fantasy,33,let us,26
fantasy,34,could find,26
fantasy,35,said man,26
fantasy,36,old man,26
fantasy,37,came back,26
fantasy,38,thought would,25
fantasy,39,fast could,25
fantasy,40,set free,25
fantasy,41,said must,25
fantasy,42,said nothing,25
fantasy,43,golden cap,23
fantasy,44,said come,23
fantasy,45,short time,23
fantasy,46,would never,23
fantasy,47,yes said,23
fantasy,48,looking glass,23
fantasy,49,snow white,23
fantasy,50,throne room,22
fantasy,51,three days,22
fantasy,52,white rabbit,22
fantasy,53,said hatter,22
fantasy,54,went away,22
fantasy,55,till came,22
fantasy,56,imperial majesty,22
fantasy,57,go back,21
fantasy,58,fast asleep,21
fantasy,59,wife said,21
fantasy,60,desired would,21
fantasy,61,would come,20
fantasy,62,great deal,20
fantasy,63,said mock,20
fantasy,64,fell asleep,20
fantasy,65,said shall,20
fantasy,66,open door,20
fantasy,67,good day,20
fantasy,68,chapter author,20
fantasy,69,said tin,19
fantasy,70,came said,19
fantasy,71,juniper tree,19
fantasy,72,till last,19
fantasy,73,went home,19
fantasy,74,heart said,18
fantasy,75,flew away,18
fantasy,76,run away,18
fantasy,77,said caterpillar,18
fantasy,78,minute two,18
fantasy,79,three hundred,18
fantasy,80,said go,18
fantasy,81,soon came,18
fantasy,82,mother said,18
fantasy,83,came home,18
fantasy,84,young man,18
fantasy,85,would take,18
fantasy,86,get back,17
fantasy,87,set work,17
fantasy,88,man said,17
fantasy,89,would go,17
fantasy,90,eat drink,17
fantasy,91,ah said,17
fantasy,92,said father,17
fantasy,93,could forbear,17
fantasy,94,yellow brick,16
fantasy,95,came near,16
fantasy,96,said good,16
horror,1,old man,76
horror,2,last night,52
horror,3,let us,45
horror,4,poor dear,36
horror,5,un dead,36
horror,6,must go,28
horror,7,came back,27
horror,8,dear madam,26
horror,9,could hear,24
horror,10,chapter chapter,23
horror,11,shall go,23
horror,12,every day,22
horror,13,good bye,22
horror,14,one one,21
horror,15,could help,21
horror,16,day night,21
horror,17,one another,20
horror,18,first time,20
horror,19,chapter diary,20
horror,20,one thing,20
horror,21,said lawyer,20
horror,22,taken place,19
horror,23,short time,19
horror,24,could find,19
horror,25,long ago,19
horror,26,sir said,19
horror,27,said mr,19
horror,28,shall never,18
horror,29,one two,18
horror,30,shook head,18
horror,31,go back,18
horror,32,ever since,17
horror,33,went room,17
horror,34,thank god,17
horror,35,diary september,17
horror,36,dining room,17
horror,37,come said,17
horror,38,young man,16
horror,39,life death,16
horror,40,shall try,16
horror,41,took hand,16
horror,42,said nothing,16
horror,43,native country,15
horror,44,come back,15
horror,45,could tell,15
horror,46,thought would,15
horror,47,well said,15
horror,48,natural philosophy,14
horror,49,poor girl,14
horror,50,well known,14
horror,51,good god,14
horror,52,upon us,14
horror,53,would like,14
horror,54,poor fellow,14
horror,55,journal october,14
horror,56,around us,14
horror,57,ha ha,14
horror,58,fell upon,14
horror,59,ugh ugh,14
horror,60,nothing could,13
horror,61,shall ever,13
horror,62,let go,13
horror,63,know know,13
horror,64,went back,13
horror,65,shall come,13
horror,66,said solemnly,13
horror,67,amongst us,13
horror,68,came away,13
horror,69,good night,13
horror,70,half hour,13
horror,71,could make,13
horror,72,next morning,12
horror,73,took place,12
horror,74,sat upon,12
horror,75,would never,12
horror,76,three days,12
horror,77,journal chapter,12
horror,78,came room,12
horror,79,round neck,12
horror,80,take care,12
horror,81,closed door,12
horror,82,time come,12
horror,83,night shall,12
