genre,rank,ngram,count
biography,1,mr,867
biography,2,many,755
biography,3,people,647
biography,4,upon,615
biography,5,new,604
biography,6,lord,532
biography,7,th,502
biography,8,sir,498
biography,9,life,485
biography,10,house,472
biography,11,miss,460
biography,12,read,423
biography,13,work,390
biography,14,queen,375
biography,15,men,345
biography,16,home,332
biography,17,given,323
biography,18,teacher,302
biography,19,princess,299
biography,20,always,298
biography,21,beautiful,298
biography,22,visit,296
biography,23,old,295
biography,24,also,291
biography,25,father,283
biography,26,place,279
biography,27,general,275
biography,28,ever,274
biography,29,gave,272
biography,30,following,269
biography,31,days,267
biography,32,received,264
biography,33,year,263
biography,34,public,261
biography,35,british,261
biography,36,even,254
biography,37,soon,253
biography,38,give,251
biography,39,world,251
biography,40,part,248
biography,41,letter,242
biography,42,three,239
biography,43,mind,239
biography,44,mother,238
biography,45,country,235
biography,46,empire,233
biography,47,however,230
biography,48,told,230
biography,49,child,229
biography,50,whole,226
biography,51,morning,220
biography,52,st,218
biography,53,shall,214
biography,54,state,214
biography,55,interest,207
biography,56,next,202
biography,57,evening,197
biography,58,large,197
biography,59,master,196
biography,60,write,196
fantasy,1,upon,715
fantasy,2,away,446
fantasy,3,queen,423
fantasy,4,head,385
fantasy,5,back,373
fantasy,6,shall,370
fantasy,7,three,349
fantasy,8,old,347
fantasy,9,get,343
fantasy,10,put,328
fantasy,11,soon,314
fantasy,12,let,311
fantasy,13,country,306
fantasy,14,got,302
fantasy,15,many,295
fantasy,16,give,292
fantasy,17,house,281
fantasy,18,gave,273
fantasy,19,however,273
fantasy,20,people,272
fantasy,21,nothing,263
fantasy,22,till,262
fantasy,23,cried,257
fantasy,24,set,243
fantasy,25,quite,241
fantasy,26,home,239
fantasy,27,door,238
fantasy,28,scarecrow,225
fantasy,29,white,225
fantasy,30,round,222
fantasy,31,side,217
fantasy,32,fell,213
fantasy,33,next,210
fantasy,34,several,209
fantasy,35,thing,208
fantasy,36,sat,203
fantasy,37,told,203
fantasy,38,together,201
fantasy,39,master,201
fantasy,40,water,200
fantasy,41,among,197
fantasy,42,tell,194
fantasy,43,ever,191
fantasy,44,ran,191
fantasy,45,wife,191
fantasy,46,father,189
fantasy,47,majesty,187
fantasy,48,tree,186
fantasy,49,find,182
fantasy,50,beautiful,181
fantasy,51,done,181
fantasy,52,looking,181
fantasy,53,girl,180
fantasy,54,poor,178
fantasy,55,large,178
fantasy,56,room,177
fantasy,57,oh,177
fantasy,58,always,176
fantasy,59,right,172
fantasy,60,look,171
horror,1,upon,800
horror,2,shall,615
horror,3,night,548
horror,4,even,547
horror,5,life,383
horror,6,back,361
horror,7,old,359
horror,8,room,334
horror,9,door,330
horror,10,friend,314
horror,11,face,305
horror,12,away,303
horror,13,heart,302
horror,14,dear,302
horror,15,many,301
horror,16,ever,295
horror,17,mind,287
horror,18,death,285
horror,19,god,281
horror,20,mr,277
horror,21,men,273
horror,22,house,273
horror,23,place,266
horror,24,sleep,254
horror,25,though,252
horror,26,far,251
horror,27,poor,250
horror,28,felt,245
horror,29,let,242
horror,30,however,241
horror,31,tell,241
horror,32,knew,238
horror,33,nothing,234
horror,34,thus,232
horror,35,look,227
horror,36,something,226
horror,37,moment,225
horror,38,indeed,215
horror,39,whole,210
horror,40,oh,207
horror,41,professor,206
horror,42,light,204
horror,43,work,202
horror,44,get,202
horror,45,head,199
horror,46,count,198
horror,47,within,197
horror,48,fear,194
horror,49,seen,193
horror,50,thing,192
horror,51,dead,188
horror,52,told,188
horror,53,morning,187
horror,54,cannot,186
horror,55,strange,186
horror,56,find,185
horror,57,world,181
horror,58,alone,181
horror,59,soon,178
horror,60,full,176
romance,1,mr,1842
romance,2,mrs,1269
romance,3,miss,966
romance,4,shall,838
romance,5,though,722
romance,6,nothing,666
romance,7,room,644
romance,8,soon,638
romance,9,house,627
romance,10,lady,625
romance,11,sir,615
romance,12,sister,556
romance,13,ever,546
romance,14,mother,507
romance,15,give,497
romance,16,away,490
romance,17,tell,475
romance,18,night,470
romance,19,heart,465
romance,20,till,464
romance,21,young,448
romance,22,cannot,435
romance,23,felt,435
romance,24,let,431
romance,25,however,421
romance,26,look,415
romance,27,even,401
romance,28,better,396
romance,29,yes,395
romance,30,always,390
romance,31,door,390
romance,32,sure,386
romance,33,enough,383
romance,34,oh,383
romance,35,quite,381
romance,36,father,373
romance,37,back,371
romance,38,face,367
romance,39,dear,366
romance,40,mind,366
romance,41,place,365
romance,42,wish,359
romance,43,morning,359
romance,44,life,357
romance,45,thing,357
romance,46,indeed,354
romance,47,half,354
romance,48,cried,349
romance,49,master,345
romance,50,something,338
romance,51,many,337
romance,52,rather,335
romance,53,hear,326
romance,54,perhaps,324
romance,55,put,318
romance,56,moment,317
romance,57,head,316
romance,58,home,313
romance,59,done,312
romance,60,leave,310
sci-fi,1,captain,863
sci-fi,2,strong,552
sci-fi,3,nautilus,525
sci-fi,4,upon,459
sci-fi,5,back,426
sci-fi,6,ship,417
sci-fi,7,sir,412
sci-fi,8,sea,404
sci-fi,9,men,376
sci-fi,10,three,364
sci-fi,11,water,358
sci-fi,12,space,355
sci-fi,13,get,316
sci-fi,14,going,300
sci-fi,15,turned,285
sci-fi,16,even,282
sci-fi,17,land,281
sci-fi,18,light,280
sci-fi,19,right,274
sci-fi,20,air,267
sci-fi,21,night,260
sci-fi,22,towards,260
sci-fi,23,away,257
sci-fi,24,rip,241
sci-fi,25,black,237
sci-fi,26,nothing,229
sci-fi,27,suddenly,227
sci-fi,28,solar,221
sci-fi,29,people,221
sci-fi,30,face,217
sci-fi,31,moment,216
sci-fi,32,thing,212
sci-fi,33,side,208
sci-fi,34,head,207
sci-fi,35,half,204
sci-fi,36,got,198
sci-fi,37,room,196
sci-fi,38,far,196
sci-fi,39,place,194
sci-fi,40,across,191
sci-fi,41,white,188
sci-fi,42,seen,180
sci-fi,43,let,177
sci-fi,44,four,177
sci-fi,45,open,172
sci-fi,46,enough,169
sci-fi,47,put,167
sci-fi,48,felt,166
sci-fi,49,surface,166
sci-fi,50,yes,163
sci-fi,51,end,163
sci-fi,52,small,162
sci-fi,53,behind,162
sci-fi,54,five,161
sci-fi,55,part,160
sci-fi,56,board,159
sci-fi,57,knew,156
sci-fi,58,along,156
sci-fi,59,something,155
sci-fi,60,large,154
